lead_id,company_size,source,industry,engagement_score,response_time_hours,prior_interactions,budget_confirmed,attended_demo,lead_age_months,converted
48,1-50,University Partnership,Corporate Security,46.6,26.8,2,1,0,1.5,0
49,201-1000,Conference,Corporate Security,,6.9,5,1,0,3.4,1
50,1-50,Conference,Corporate Security,83.5,4.0,5,0,1,4.9,1
51,1-50,Referral,Healthcare,64.3,9.5,3,0,1,0.6,1
52,1-50,Referral,Healthcare,26.2,28.1,1,0,0,3.5,0
53,201-1000,Referral,Healthcare,59.8,28.7,2,1,0,1.2,1
54,201-1000,Webinar,NGO/Nonprofit,67.0,19.1,1,0,1,0.2,0
55,201-1000,Referral,Healthcare,64.5,15.3,0,0,1,0.2,0
56,201-1000,Conference,Corporate Security,65.7,49.3,3,1,1,0.7,1
57,51-200,Inbound Website,Healthcare,57.3,44.7,0,1,0,0.9,0
58,51-200,Inbound Website,Higher Education,48.6,12.9,4,1,1,0.4,1
59,1-50,Webinar,Government,37.8,51.9,3,0,1,1.4,1
60,1-50,Conference,Corporate Security,12.0,57.4,6,0,0,1.7,0
61,201-1000,Referral,NGO/Nonprofit,56.8,25.9,6,1,0,3.1,1
62,51-200,Cold Outreach,Healthcare,53.7,12.7,3,1,0,0.4,0
63,51-200,Cold Outreach,Higher Education,61.2,18.3,3,1,0,2.5,0
64,201-1000,Conference,Corporate Security,,7.3,4,1,1,1.3,1
65,201-1000,Webinar,Higher Education,62.9,43.2,4,0,0,2.0,0
66,51-200,Inbound Website,Healthcare,91.1,15.3,4,0,0,1.6,1
67,51-200,University Partnership,NGO/Nonprofit,51.6,35.5,2,0,0,1.8,0
68,51-200,Conference,Corporate Security,48.8,35.3,4,1,1,1.8,1
69,1-50,Cold Outreach,Corporate Security,56.2,1.4,4,0,1,5.7,1
70,51-200,Cold Outreach,Government,90.6,47.8,3,1,0,0.9,0
71,1-50,Conference,Corporate Security,,4.7,5,1,1,0.3,1
72,51-200,Cold Outreach,NGO/Nonprofit,54.1,7.7,5,1,0,0.2,0
73,1000+,Cold Outreach,Healthcare,34.0,19.5,5,1,1,1.3,0
74,1-50,Webinar,Corporate Security,39.1,20.5,4,0,1,0.6,1
75,1-50,Referral,Government,49.0,11.5,2,0,0,0.7,0
76,1-50,Cold Outreach,Higher Education,76.9,11.4,3,1,1,0.1,1
77,1-50,University Partnership,Higher Education,86.0,33.2,3,0,0,1.2,1
78,201-1000,Referral,Higher Education,59.0,17.8,3,0,1,3.1,1
79,51-200,Conference,Government,42.5,29.0,3,1,0,0.9,0
80,201-1000,Webinar,Other,99.9,50.2,5,1,1,0.7,1
81,201-1000,Cold Outreach,Corporate Security,41.4,14.6,1,0,0,0.6,0
82,51-200,Cold Outreach,Higher Education,38.6,15.6,2,0,0,0.9,1
83,201-1000,Cold Outreach,Higher Education,14.5,11.6,2,0,0,6.1,0
84,1-50,Webinar,Government,77.9,8.4,4,1,1,0.7,0
85,1-50,Conference,NGO/Nonprofit,69.4,44.6,2,0,0,0.1,0
86,1-50,Conference,Government,98.4,3.3,0,0,1,2.7,1
87,201-1000,Cold Outreach,NGO/Nonprofit,22.2,30.2,4,0,0,0.1,0
88,51-200,Cold Outreach,NGO/Nonprofit,79.2,12.8,2,1,1,2.1,1
89,1-50,Cold Outreach,Higher Education,51.4,14.3,4,1,0,2.0,0
90,51-200,Webinar,Healthcare,66.1,65.0,4,0,0,3.9,0
91,1-50,Cold Outreach,Other,17.0,10.7,3,0,1,0.3,0
92,201-1000,Inbound Website,Corporate Security,79.4,12.3,0,0,0,1.0,1
93,51-200,Webinar,Higher Education,65.7,6.5,1,0,0,5.9,0
94,51-200,Cold Outreach,Other,49.2,13.6,2,0,1,0.9,0
95,51-200,Cold Outreach,NGO/Nonprofit,62.9,5.5,1,0,0,0.3,0
96,201-1000,Cold Outreach,Corporate Security,34.7,20.3,4,0,0,4.6,0
97,51-200,Referral,Corporate Security,38.4,10.2,6,0,0,0.8,1
98,1-50,University Partnership,Higher Education,40.7,14.3,2,0,1,0.1,0
99,1-50,Inbound Website,NGO/Nonprofit,12.9,59.5,3,0,1,1.4,0
100,1000+,Cold Outreach,Corporate Security,67.2,105.2,4,0,1,2.0,0
101,1000+,University Partnership,Higher Education,73.8,4.7,4,1,1,0.5,1
102,201-1000,Webinar,Healthcare,36.0,49.3,4,0,0,1.1,1
103,1-50,Inbound Website,Other,,0.9,7,0,0,1.8,0
104,1000+,University Partnership,NGO/Nonprofit,44.7,19.1,0,1,0,1.9,0
105,201-1000,Inbound Website,Government,56.6,74.0,3,0,0,1.6,0
106,201-1000,Conference,Higher Education,37.4,20.5,6,1,0,0.1,0
107,51-200,Webinar,Other,32.3,62.0,1,0,1,0.3,0
108,1-50,Inbound Website,Other,71.0,31.1,4,1,0,3.2,0
109,1-50,Referral,Corporate Security,48.7,15.2,1,0,0,1.8,0
110,1000+,Conference,Healthcare,90.4,21.4,3,0,0,1.5,1
111,51-200,Cold Outreach,Corporate Security,50.9,20.8,5,1,0,4.1,0
112,1-50,Conference,Corporate Security,31.5,32.2,1,1,0,1.1,0
113,51-200,Webinar,Higher Education,74.5,13.2,3,0,0,1.2,0
114,51-200,Referral,Higher Education,62.6,14.5,2,1,0,0.4,0
115,1-50,Referral,Higher Education,64.5,97.5,3,0,0,1.1,1
116,1000+,Inbound Website,NGO/Nonprofit,73.8,7.4,3,1,1,1.1,1
117,201-1000,Webinar,Higher Education,36.9,8.7,3,1,1,0.2,1
118,201-1000,Referral,Higher Education,47.5,13.2,0,0,1,1.5,0
119,51-200,Inbound Website,Corporate Security,46.6,14.8,1,1,1,0.4,1
120,201-1000,Conference,Higher Education,24.2,6.0,3,1,1,3.3,1
121,51-200,Cold Outreach,Higher Education,44.7,7.1,2,1,0,0.8,0
122,201-1000,Cold Outreach,Corporate Security,76.7,1.4,4,0,1,1.3,1
123,1-50,Referral,Government,54.7,6.5,4,1,0,1.6,0
124,51-200,Inbound Website,Healthcare,23.1,26.1,4,0,0,0.2,1
125,1-50,Cold Outreach,Other,18.9,14.0,2,0,0,2.5,0
126,51-200,Conference,Higher Education,83.3,4.1,2,1,0,3.4,1
127,51-200,Cold Outreach,Other,48.2,0.5,3,0,1,0.7,0
128,1-50,Webinar,Other,37.1,8.9,2,1,0,1.4,0
129,1-50,University Partnership,NGO/Nonprofit,44.5,3.2,6,1,1,1.1,0
130,51-200,University Partnership,Healthcare,20.5,0.5,4,0,1,0.8,0
131,1-50,Inbound Website,Healthcare,78.5,32.2,6,1,0,1.3,1
132,1000+,Cold Outreach,Healthcare,42.1,29.3,2,0,0,2.3,0
133,51-200,Webinar,Healthcare,77.3,6.2,5,0,0,0.7,1
134,51-200,Conference,Higher Education,51.0,4.5,4,0,0,0.7,0
135,51-200,Conference,Other,78.6,25.3,1,0,1,3.8,1
136,1-50,Conference,Corporate Security,55.1,12.8,0,1,1,0.2,0
137,1000+,University Partnership,NGO/Nonprofit,67.1,13.1,1,0,1,1.3,1
138,51-200,Webinar,Government,64.4,12.8,2,1,0,1.8,0
139,201-1000,Conference,Higher Education,62.5,28.3,2,1,1,3.4,1
140,1-50,Cold Outreach,Corporate Security,57.0,80.7,0,1,1,3.7,1
141,51-200,Referral,Corporate Security,45.3,17.5,3,0,0,0.4,0
142,51-200,Inbound Website,Corporate Security,88.3,81.6,3,1,0,3.8,1
143,1000+,Cold Outreach,Government,31.9,4.6,3,0,0,3.1,0
144,51-200,Webinar,Higher Education,50.1,21.8,0,1,0,0.2,0
145,51-200,Conference,Corporate Security,50.3,2.1,1,0,1,2.2,0
146,1-50,Webinar,Government,58.0,21.2,4,1,1,0.7,1
147,51-200,Cold Outreach,Other,41.4,33.1,1,0,0,1.6,0
148,51-200,Cold Outreach,Higher Education,56.3,4.9,4,0,1,1.3,1
149,51-200,Cold Outreach,Government,46.6,6.9,3,1,0,3.4,0
150,1-50,Referral,Government,18.4,29.8,3,0,0,0.6,1
151,201-1000,Inbound Website,Corporate Security,50.2,8.6,1,1,1,1.1,1
152,1000+,Inbound Website,Corporate Security,28.0,0.5,0,1,1,0.6,0
153,1-50,University Partnership,Healthcare,15.3,29.6,6,0,1,6.5,0
154,51-200,Cold Outreach,Other,52.7,28.2,5,0,0,0.1,0
155,1-50,Conference,Government,59.8,6.7,3,0,1,2.2,1
156,201-1000,Referral,Healthcare,60.5,64.0,4,1,1,14.5,0
157,1-50,Webinar,Higher Education,61.3,7.7,3,1,1,1.5,1
158,201-1000,Cold Outreach,Government,11.3,2.9,2,0,0,2.3,0
159,201-1000,Inbound Website,Corporate Security,22.8,11.9,1,1,0,4.6,0
160,201-1000,University Partnership,Higher Education,89.5,0.9,5,0,1,0.6,1
161,1-50,Inbound Website,Healthcare,29.1,14.2,5,0,1,0.2,0
162,1000+,Cold Outreach,Healthcare,62.2,22.7,2,1,0,0.4,0
163,1-50,Webinar,Healthcare,36.3,76.9,2,1,0,1.4,0
164,1-50,Referral,Corporate Security,51.6,60.5,2,0,1,1.3,1
165,51-200,Cold Outreach,Healthcare,37.3,20.2,3,0,0,2.5,0
166,51-200,Webinar,Government,61.2,1.4,2,0,0,0.7,1
167,201-1000,University Partnership,Higher Education,52.7,18.2,3,0,0,3.2,1
168,201-1000,Referral,Higher Education,41.0,28.3,7,0,0,0.3,0
169,51-200,University Partnership,Healthcare,29.0,44.8,3,1,1,0.5,1
170,1000+,Cold Outreach,Other,55.4,58.8,2,0,0,1.0,1
171,1-50,Referral,Higher Education,25.7,12.8,0,0,0,1.9,0
172,51-200,Conference,Corporate Security,58.5,1.8,5,1,1,0.3,1
173,1-50,Cold Outreach,NGO/Nonprofit,100.0,43.2,3,0,1,4.4,0
174,1000+,Inbound Website,NGO/Nonprofit,77.0,4.4,4,0,0,2.2,1
175,1-50,Conference,Corporate Security,64.4,24.9,1,1,0,1.4,1
176,1-50,Referral,Healthcare,48.3,6.9,1,0,1,1.2,0
177,51-200,Inbound Website,Healthcare,,6.4,4,0,0,0.5,1
178,1000+,Conference,NGO/Nonprofit,23.6,57.6,4,0,0,0.3,0
179,1000+,Webinar,Higher Education,75.7,19.8,4,0,0,1.8,1
180,201-1000,Cold Outreach,Other,34.2,44.4,6,0,0,0.5,0
181,1000+,Cold Outreach,Higher Education,36.0,10.1,4,0,1,0.6,1
182,1000+,Referral,NGO/Nonprofit,46.7,15.7,4,0,0,4.9,1
183,51-200,Webinar,Higher Education,28.8,18.7,3,1,0,0.7,0
184,51-200,Conference,Higher Education,25.5,42.3,1,0,0,0.3,0
185,201-1000,Conference,Higher Education,,14.7,6,0,0,0.3,1
186,201-1000,Referral,Corporate Security,32.2,18.9,4,0,0,1.0,1
187,51-200,Inbound Website,Government,35.2,18.3,3,1,1,1.2,0
188,1-50,Cold Outreach,Higher Education,34.4,21.6,4,0,0,0.4,0
189,201-1000,Conference,Corporate Security,60.4,2.5,5,1,0,3.4,1
190,1-50,Referral,Corporate Security,45.4,10.3,2,0,0,1.8,0
191,1000+,Conference,NGO/Nonprofit,46.4,1.0,3,1,1,0.9,0
192,1-50,Inbound Website,NGO/Nonprofit,61.9,0.8,4,0,0,1.5,0
193,1-50,Referral,Healthcare,47.2,78.2,0,0,1,0.4,1
194,201-1000,Referral,Higher Education,44.4,2.0,2,0,1,2.7,1
195,1-50,Inbound Website,Government,59.4,24.4,5,0,0,0.9,0
196,1-50,University Partnership,Other,63.4,10.3,3,1,1,1.3,1
197,51-200,Webinar,Higher Education,47.1,5.7,8,1,0,2.3,0
198,1000+,Conference,Corporate Security,51.6,36.2,2,1,1,0.4,0
199,1-50,Webinar,Other,34.4,4.3,5,0,1,0.1,0
200,51-200,Cold Outreach,Other,32.8,45.5,2,1,0,0.6,0
201,201-1000,Cold Outreach,Corporate Security,65.4,10.5,1,0,1,3.8,0
202,1000+,Referral,Healthcare,58.9,1.4,2,1,0,0.5,1
203,51-200,Conference,Corporate Security,59.1,8.7,3,1,0,1.7,1
204,1-50,Cold Outreach,NGO/Nonprofit,55.6,23.4,0,0,1,2.3,0
205,1-50,University Partnership,Higher Education,50.9,9.7,5,1,1,0.5,1
206,1-50,University Partnership,Higher Education,63.9,4.3,2,0,0,2.5,0
207,1-50,Conference,Healthcare,68.7,9.1,2,0,1,4.9,0
208,201-1000,Referral,Higher Education,68.2,4.0,1,0,1,0.1,1
209,1-50,Conference,Healthcare,48.0,45.5,5,1,0,0.8,0
210,51-200,Inbound Website,Government,77.7,15.9,4,0,1,0.1,0
211,201-1000,Inbound Website,NGO/Nonprofit,54.6,19.7,1,0,1,3.3,1
212,51-200,Conference,NGO/Nonprofit,62.6,67.8,2,1,1,2.3,0
213,1-50,Inbound Website,Corporate Security,55.6,5.6,5,0,1,0.4,1
214,201-1000,Conference,NGO/Nonprofit,54.9,4.2,7,1,0,1.6,0
215,201-1000,Referral,Government,35.3,5.6,6,0,0,0.9,1
216,201-1000,Inbound Website,Corporate Security,64.0,61.2,5,0,0,0.5,1
217,1-50,Webinar,Higher Education,,36.0,1,1,0,2.0,1
218,1-50,Webinar,NGO/Nonprofit,42.5,77.0,4,0,0,0.5,1
219,1000+,Conference,NGO/Nonprofit,51.4,2.5,6,1,1,0.9,1
220,51-200,Conference,Other,41.1,6.7,4,0,0,0.5,0
221,51-200,Inbound Website,NGO/Nonprofit,40.2,4.1,8,1,1,1.9,1
222,51-200,Cold Outreach,Other,80.9,29.6,4,0,0,0.5,0
223,201-1000,Cold Outreach,Higher Education,36.5,5.2,3,1,0,0.8,1
224,1000+,Cold Outreach,Other,40.5,55.4,2,0,1,1.3,0
225,1-50,Cold Outreach,Corporate Security,18.3,9.6,3,0,1,0.6,0
226,1000+,Cold Outreach,Corporate Security,34.8,48.7,3,0,0,0.9,0
227,1-50,Referral,Corporate Security,15.8,9.7,2,0,1,7.5,1
228,51-200,Referral,Government,62.6,2.8,6,0,0,1.1,1
229,201-1000,Inbound Website,Government,100.0,26.6,4,0,0,0.8,1
230,1-50,Cold Outreach,Higher Education,42.7,8.8,0,0,0,1.6,0
231,1-50,Conference,Higher Education,16.7,3.1,1,1,1,2.7,0
232,51-200,Webinar,Corporate Security,68.0,8.0,6,0,0,1.9,1
233,1000+,Referral,NGO/Nonprofit,35.5,9.7,8,0,1,3.9,1
234,51-200,University Partnership,Healthcare,76.0,125.8,1,0,0,2.4,0
235,1000+,University Partnership,Corporate Security,44.4,23.8,1,0,0,0.6,0
236,201-1000,Conference,Corporate Security,37.4,3.4,1,1,1,0.8,1
237,51-200,University Partnership,Corporate Security,46.4,7.7,4,1,0,0.2,1
238,201-1000,Webinar,Higher Education,65.2,17.1,0,0,0,2.7,1
239,1-50,Conference,NGO/Nonprofit,45.5,6.7,5,1,0,0.1,1
240,1-50,Conference,Higher Education,40.1,9.3,3,0,0,3.0,0
241,201-1000,University Partnership,Healthcare,46.0,4.6,1,1,0,0.8,0
242,201-1000,Referral,NGO/Nonprofit,24.6,2.1,1,0,0,2.0,0
243,1-50,University Partnership,Corporate Security,57.9,49.8,1,0,0,0.3,0
244,51-200,Referral,NGO/Nonprofit,14.3,8.7,2,0,0,0.4,0
245,201-1000,University Partnership,Government,41.1,17.9,4,0,0,5.0,0
246,1000+,Webinar,NGO/Nonprofit,,7.1,4,1,0,2.4,1
247,201-1000,Conference,Healthcare,56.1,57.7,3,0,0,0.4,0
248,51-200,Webinar,NGO/Nonprofit,61.8,15.4,2,0,1,0.3,1
249,51-200,Webinar,Healthcare,48.7,2.5,2,0,1,2.8,0
250,51-200,University Partnership,NGO/Nonprofit,73.4,16.5,2,1,0,0.7,1
251,201-1000,Inbound Website,Other,68.5,20.5,0,1,0,7.8,1
252,1000+,Webinar,Corporate Security,58.9,2.0,1,1,0,1.0,0
253,51-200,Conference,NGO/Nonprofit,68.6,37.3,6,1,0,6.2,0
254,1-50,Conference,Healthcare,65.0,15.7,2,1,0,0.7,0
255,1-50,Cold Outreach,Corporate Security,41.2,3.8,4,0,1,3.4,1
256,201-1000,Referral,Other,23.1,60.4,7,0,1,0.4,0
257,201-1000,University Partnership,Government,58.4,31.4,1,0,0,2.3,0
258,1-50,Cold Outreach,Corporate Security,60.9,22.2,5,0,1,5.0,0
259,1-50,Conference,Higher Education,71.8,1.0,2,1,0,1.2,0
260,51-200,Cold Outreach,Higher Education,31.3,72.8,1,0,1,0.6,0
261,1-50,Inbound Website,NGO/Nonprofit,31.9,11.6,2,0,1,1.2,0
262,201-1000,Webinar,Government,59.2,9.7,1,1,0,0.5,0
263,51-200,University Partnership,Government,48.6,1.3,0,0,0,2.9,0
264,1-50,Cold Outreach,Higher Education,12.3,7.4,3,0,0,0.1,0
265,1000+,Inbound Website,Corporate Security,57.5,43.7,7,0,1,0.3,1
266,1-50,Inbound Website,NGO/Nonprofit,13.0,43.0,3,1,0,0.3,0
267,1-50,Cold Outreach,NGO/Nonprofit,31.1,2.2,5,0,1,1.2,1
268,1-50,University Partnership,Higher Education,77.0,11.9,4,0,0,0.2,1
269,1-50,Inbound Website,Corporate Security,86.5,29.3,3,0,0,0.2,1
270,1-50,University Partnership,Corporate Security,25.7,15.7,2,1,1,2.5,0
271,1-50,Conference,Healthcare,43.4,6.0,3,0,0,0.2,0
272,1-50,University Partnership,Corporate Security,,22.8,6,0,0,2.0,1
273,1-50,Referral,Government,85.6,15.6,7,1,1,0.4,1
274,51-200,Cold Outreach,Corporate Security,40.1,16.9,2,1,0,0.1,1
275,201-1000,Webinar,Corporate Security,40.5,4.1,5,0,1,0.6,0
276,51-200,Webinar,Corporate Security,81.0,12.3,1,0,1,1.8,0
277,51-200,Cold Outreach,Corporate Security,42.5,32.7,4,0,0,0.7,0
278,51-200,Conference,NGO/Nonprofit,64.4,15.7,0,1,0,0.2,1
279,1000+,Cold Outreach,Healthcare,20.5,22.2,3,0,0,1.3,0
280,1000+,Cold Outreach,Government,46.6,10.5,3,1,1,2.4,0
281,1-50,Cold Outreach,NGO/Nonprofit,16.8,37.4,1,1,1,1.1,0
282,1-50,Referral,NGO/Nonprofit,28.9,2.7,2,0,1,7.7,0
283,1-50,Webinar,Higher Education,66.8,28.1,4,0,1,1.7,0
284,1-50,University Partnership,Corporate Security,49.0,4.6,5,1,0,1.3,0
285,51-200,Webinar,Government,43.6,6.8,2,1,0,0.7,1
286,51-200,Referral,Healthcare,35.0,51.7,4,1,0,1.0,0
287,1-50,Conference,Higher Education,45.6,12.3,3,0,1,0.9,0
288,51-200,Cold Outreach,Healthcare,56.0,13.7,3,1,0,3.3,0
289,51-200,Conference,Government,69.7,24.5,3,1,0,0.4,1
290,1-50,Cold Outreach,Corporate Security,,27.9,1,1,0,4.2,0
291,201-1000,Referral,Other,33.4,24.0,2,0,0,1.5,0
292,1-50,Inbound Website,Government,53.2,19.0,1,0,0,2.3,0
293,1000+,Webinar,NGO/Nonprofit,48.0,0.5,3,0,0,3.1,0
294,1-50,Inbound Website,Other,58.1,4.0,1,1,1,2.3,1
295,201-1000,Cold Outreach,NGO/Nonprofit,55.4,7.6,4,1,1,1.0,1
296,1000+,Webinar,Higher Education,43.9,43.3,4,0,0,0.1,1
297,1000+,Conference,NGO/Nonprofit,39.5,60.9,6,0,1,7.7,0
298,201-1000,Webinar,Higher Education,45.1,15.6,5,0,0,0.4,1
299,201-1000,Cold Outreach,Government,73.0,11.0,3,0,1,0.3,1
300,201-1000,Inbound Website,NGO/Nonprofit,35.4,77.1,3,1,0,2.1,0
301,201-1000,Inbound Website,Healthcare,48.7,16.9,1,0,0,2.0,0
302,1-50,Conference,Corporate Security,53.7,29.6,6,0,0,0.3,0
303,51-200,Cold Outreach,Government,81.2,19.7,4,1,0,6.0,1
304,51-200,Cold Outreach,NGO/Nonprofit,44.0,10.9,3,0,0,2.5,1
305,1000+,Inbound Website,Healthcare,69.2,13.5,1,0,1,3.3,1
306,51-200,Webinar,Corporate Security,74.6,24.8,4,0,1,0.3,1
307,51-200,Inbound Website,NGO/Nonprofit,48.7,56.4,2,0,0,0.2,0
308,201-1000,Cold Outreach,Higher Education,45.8,13.7,5,0,0,2.0,0
309,1-50,University Partnership,Higher Education,43.4,12.5,6,1,1,0.4,1
310,1-50,Inbound Website,Healthcare,44.9,1.3,1,0,0,0.6,0
311,51-200,Referral,Other,67.1,3.1,2,0,0,4.2,1
312,51-200,University Partnership,Higher Education,54.6,0.5,2,0,0,0.1,1
313,1-50,Webinar,Higher Education,54.7,3.2,2,0,0,3.4,1
314,51-200,Inbound Website,Higher Education,27.5,35.7,4,0,0,0.8,1
315,51-200,Conference,NGO/Nonprofit,30.7,31.4,0,0,0,1.2,0
316,51-200,University Partnership,Higher Education,92.9,35.8,5,0,0,3.2,0
317,51-200,Referral,Corporate Security,46.4,0.7,2,1,1,2.7,1
318,201-1000,Conference,Other,34.5,26.2,5,0,1,7.2,0
319,1-50,University Partnership,Higher Education,78.6,7.5,3,1,1,7.6,0
320,1000+,University Partnership,Corporate Security,55.6,15.2,2,0,0,1.0,1
321,1000+,University Partnership,Corporate Security,61.6,51.7,3,0,1,0.5,0
322,51-200,Webinar,NGO/Nonprofit,47.2,19.5,1,0,1,0.5,1
323,51-200,Conference,Government,43.6,3.0,0,0,0,2.4,0
324,51-200,Inbound Website,Corporate Security,46.6,11.8,3,0,0,0.9,1
325,201-1000,Inbound Website,Higher Education,,74.5,2,1,1,1.1,0
326,201-1000,University Partnership,Healthcare,48.2,54.8,5,0,0,2.2,0
327,201-1000,Cold Outreach,NGO/Nonprofit,55.9,37.2,1,0,1,2.4,0
328,51-200,Cold Outreach,Higher Education,87.0,3.2,4,1,1,1.2,1
329,201-1000,Referral,Government,51.7,4.0,4,0,1,2.5,0
330,1-50,University Partnership,NGO/Nonprofit,3.3,2.4,2,0,1,1.5,0
331,201-1000,Cold Outreach,Higher Education,48.1,3.4,2,0,1,0.5,0
332,1-50,Referral,Government,100.0,0.5,2,0,1,0.7,1
333,201-1000,Webinar,Corporate Security,67.3,44.2,3,1,1,2.6,1
334,1000+,Inbound Website,Government,33.8,28.6,2,0,0,0.2,0
335,1-50,Referral,Government,61.8,37.2,4,0,1,3.0,0
336,201-1000,Cold Outreach,Corporate Security,35.2,16.0,4,1,0,0.7,0
337,1-50,Inbound Website,Higher Education,22.9,0.5,3,0,0,0.2,0
338,201-1000,Inbound Website,Corporate Security,43.0,14.8,5,0,0,6.1,1
339,1-50,Inbound Website,Healthcare,51.8,1.5,2,0,0,2.0,0
340,1000+,Cold Outreach,Corporate Security,12.6,46.2,4,0,0,0.1,0
341,1-50,Inbound Website,Higher Education,27.0,0.8,1,0,0,0.3,0
342,1000+,University Partnership,NGO/Nonprofit,50.2,9.0,3,0,0,1.5,0
343,201-1000,Cold Outreach,Higher Education,41.8,43.4,5,0,1,0.1,0
344,51-200,University Partnership,NGO/Nonprofit,57.9,36.7,2,1,1,0.7,0
345,201-1000,Cold Outreach,Government,25.7,41.2,1,1,1,1.1,0
346,201-1000,Cold Outreach,NGO/Nonprofit,64.3,24.0,5,1,0,3.4,1
347,1000+,University Partnership,Higher Education,26.3,5.3,1,0,0,0.7,0
348,1-50,Inbound Website,Higher Education,82.9,36.5,4,1,1,1.6,0
349,51-200,Cold Outreach,Corporate Security,15.7,47.3,2,0,0,2.2,1
350,1-50,University Partnership,Higher Education,28.1,48.0,5,1,1,0.3,1
351,201-1000,Referral,Higher Education,58.3,38.8,3,1,1,1.6,1
352,1-50,Cold Outreach,Healthcare,83.3,25.7,2,0,0,1.3,0
353,51-200,Cold Outreach,NGO/Nonprofit,56.3,54.7,1,0,0,1.4,0
354,51-200,Cold Outreach,Higher Education,61.3,38.1,4,1,0,0.3,0
355,51-200,University Partnership,NGO/Nonprofit,50.4,1.7,3,1,0,1.4,1
356,51-200,Inbound Website,NGO/Nonprofit,29.5,8.4,4,0,0,0.3,0
357,201-1000,Conference,NGO/Nonprofit,40.2,10.2,4,1,1,1.2,1
358,201-1000,Cold Outreach,Healthcare,25.8,47.8,0,0,1,6.6,0
359,51-200,Webinar,Healthcare,24.4,19.7,1,0,0,0.5,0
360,51-200,Conference,Corporate Security,58.0,1.3,6,0,0,3.1,0
